id,severity,classificacao,stream,titulo,evidencia,impacto_tecnico,impacto_negocio,esforco,owner,recomendacao
F-01,P0,Defeito atual,Arquitetura+Seguranca,"Contrato de logout quebrado","frontend auth-store chama /auth/logout; AuthController nao expõe logout","sem invalidação server-side compatível","sessão inconsistente e suporte manual","baixo","Backend auth + Frontend auth","formalizar contrato real de logout/sessao"
F-02,P0,Risco operacional,Seguranca Aplicacional,"Modelo de sessao fragil","tokens em localStorage + cookies legiveis por JS + middleware confia so na presenca do cookie","autorizacao client-side fraca","risco reputacional e de conta","medio","Seguranca + Frontend platform","fortalecer sessao e reduzir token legivel no browser"
F-03,P0,Defeito atual,Dados e Analytics,"Ingestao de analytics publica","SecurityConfig libera /api/v1/analytics/events","qualquer origem pode contaminar metricas","decisao executiva baseada em dados nao confiaveis","baixo","Backend analytics + Seguranca","autenticar ou assinar a ingestao"
F-04,P0,Defeito atual,QA e Release Strategy,"Gate do frontend quebrado","Jest falha com 13 suites e 18 testes","sem regressao automatizada confiavel","release sem protecao minima","medio","QA + Frontend platform","separar unit/integration de e2e e corrigir ESM/open handles"
F-05,P1,Lacuna funcional,Produto + Frontend,"Historico de chat e biblioteca locais","chat-store usa persistencia em localStorage","sem multi-dispositivo nem trilha auditavel","valor premium reduzido","alto","Backend chat + Frontend chat","persistir conversas no backend"
F-06,P1,Mock/prototipo,Billing + Negocios,"Billing nao representa operacao real","billing page usa planos e consumo estaticos","sem assinatura nem checkout","contradiz pricing e monetizacao prometidos","alto","Billing squad + Produto","implantar billing minimo real"
F-07,P1,Promessa de negocio nao implementada,Negocios/Financas,"Motor de creditos inexistente","docs tratam creditos como centro financeiro; codigo so tem schema/errors","sem enforcement de consumo/saldo","unit economics nao comprovados","alto","Backend billing + Produto","implantar engine de creditos ou revisar plano de negocio"
F-08,P1,Promessa de negocio nao implementada,RevOps/Parcerias,"Parceiros e cupons sem entrega","docs e schema modelam parceiros/cupons; produto nao expõe fluxo real","sem atribuicao nem comissao","canal de CAC prometido nao existe","alto","RevOps + Backend partners","retirar da narrativa comercial ate existir MVP"
F-09,P1,Lacuna funcional,Produto + Seguranca,"Onboarding e settings locais","welcome/settings dependem de localStorage","perfil nao centralizado","experiencia muda por navegador e prejudica retencao","medio","Frontend settings + Backend profile","persistir preferencias no backend"
F-10,P1,Defeito atual,Conteudo e Localizacao,"Encoding inconsistente","welcome, api e README ainda possuem texto corrompido","copy e testes instaveis","queda de credibilidade","baixo","Frontend UX + Conteudo","padronizar encoding e revisar copy"
F-11,P1,Promessa de negocio nao implementada,Produto,"Docs prometem mais do que o software entrega","funcional doc inclui modo consultor, aprendizado, links publicos, multimodalidade, custo por conversa","backlog e narrativa fora da realidade","overpromising e frustracao de usuario","muito alto","Produto + Arquitetura","congelar MVP real e recategorizar o restante"
F-12,P1,Divida tecnica,Arquitetura,"Dominio muito a frente da implementacao","migrations e error codes modelam billing/partners/teams/content multimodal; controllers sao poucos","falsa percepcao de cobertura","stakeholders confundidos sobre prontidao","medio","Arquitetura + Produto","alinhar dominio exposto ao escopo real"
F-13,P1,Defeito atual,QA,"Testes unitarios desatualizados","settings/billing/analytics tests falham por labels/copys antigos","alto falso negativo","reduz confianca no deploy","medio","QA + Frontend","reescrever testes por comportamento/contrato"
F-14,P1,Defeito atual,Frontend platform,"react-markdown quebra Jest","chat page importa react-markdown e suite falha com Unexpected token export","rota critica sem cobertura estavel","modulo principal sem gate confiavel","baixo","Frontend platform","configurar transform ESM/mocks"
F-15,P2,Lacuna funcional,Dados e Analytics,"Dashboard de analytics e hibrido","settings analytics e lib analytics persistem dados locais e fazem flush posterior","telemetria sujeita a perdas e duplicidades","coortes e funis menos auditaveis","medio","Data + Frontend analytics","distinguir evento local, enviado e persistido"
F-16,P2,Ponto forte,Engenharia de Plataforma,"Gateway multi-provider do backend e robusto","mvn test passa e ha cobertura ampla para providers","base tecnica forte para evolucao","diferencial tecnico futuro","manter","Backend AI platform","preservar qualidade e reutilizar como base de produto"
